Link to Local Folder;0<rank<5;Repo Name - Source;Branch
/Users/pq/autonoms_final_secure_pack/autonoma-x;5;autonoma-x;default
/Users/pq/autonomax-hub;5;autonomax-hub;main
/Users/pq/youtube_ai_app_v2.5/fiverr_business/fiverr_business;5;boppins/fiverr_business;main
/Users/pq/_lazy/business_opportunity_platform/business-dashboard;5;business-dashboard;master
/Users/pq/_lazy/business-dashboard;5;business-dashboard;master
/Users/pq/AutonomaX_AI_Integration_Starter_v11_full;5;laziestlarry/AutonomaX_AI_Integration_Starter;main
/Users/pq/AutonomaX_API_Commander;5;laziestlarry/AutonomaX_API_Commander;main
/Users/pq/AutonomaX_Studio;5;laziestlarry/AutonomaX-Studio;master
/Users/pq/autonomax-hub/AutonomaX-Studio;5;laziestlarry/AutonomaX-Studio;main
/Users/pq/autonoms_final_secure_pack;5;laziestlarry/autonoms;master
/Users/pq/Commander_Orchestrated_Online;5;laziestlarry/Commander;main
/Users/pq/youtube_ai_app_v2.5/revenue-accelerator/etsy_commander;5;laziestlarry/etsy-commander;main
/Users/pq/youtube_ai_app_v2.5/revenue-accelerator/etsy_commander_backup;5;laziestlarry/etsy-commander;main
/Users/pq/propulse-app;5;laziestlarry/propulse-app;default
/Users/pq/__ProPulse_Group__;5;laziestlarry/propulse-autonomax;main
/Users/pq/__ProPulse_Group__/propulse-autonomax;5;laziestlarry/propulse-autonomax;main
/Users/pq/__ProPulse_Group__/propulse-autonomax-github/propulse-autonomax;5;laziestlarry/propulse-autonomax;master
/Users/pq/__ProPulse_Group__/propulse-autonomax/propulse-autonomax;5;laziestlarry/propulse-autonomax;main
/Users/pq/__ProPulse_Group__/ProPulseApp_Final_Base;5;laziestlarry/propulse-autonomax;main
/Users/pq/__ProPulse_Group__/ProPulseApp_Final_Base copy 2;5;laziestlarry/propulse-autonomax;main
/Users/pq/__ProPulse_Group__/ProPulseApp_Final_Base copy 2/app;5;laziestlarry/propulse-autonomax;main
/Users/pq/__ProPulse_Group__/ProPulseApp_Final_Base copy 2/app/services/propulse-autonomax_old;5;laziestlarry/propulse-autonomax;main
/Users/pq/__ProPulse_Group__/ProPulseApp_Final_Base copy 2/scripts;5;laziestlarry/propulse-autonomax;main
/Users/pq/__ProPulse_Group__/ProPulseApp_Final_Base/app;5;laziestlarry/propulse-autonomax;main
/Users/pq/__ProPulse_Group__/ProPulseApp_Final_Base/app/services/propulse-autonomax_old;5;laziestlarry/propulse-autonomax;main
/Users/pq/__ProPulse_Group__/ProPulseApp_Final_Base/scripts;5;laziestlarry/propulse-autonomax;main
/Users/pq/__ProPulse_Group__/ProPulseApp_Stable_Deployment;5;laziestlarry/propulse-autonomax;main
/Users/pq/__ProPulse_Group__/ProPulseApp_Stable_Deployment/app/services/propulse-autonomax;5;laziestlarry/propulse-autonomax;main
/Users/pq/youtube_ai_app_v2.5;5;laziestlarry/youtube-ai-platform;main
/Users/pq/youtube_ai_app_v2.5/youtube-ai-platform;5;laziestlarry/youtube-ai-platform;main
/Users/pq/youtube-ai-platform;5;laziestlarry/youtube-ai-platform;main
/Users/pq/youtube_ai_app_clean;5;laziestlarry/youtubing_ai;main
/Users/pq/youtube_ai_platform_backup_edit;5;laziestlarry/youtubing_ai;main
/Users/pq/_salvage/20250810_worx/mega_all_pack;5;mega_all_pack;default
/Users/pq/youtube_ai_app_clean copy 4;5;youtube_ai_app_clean copy 4;master
/Users/pq/youtube_ai_app_clean copy 5;5;youtube_ai_app_clean copy 5;master
/Users/pq/__bop;4;__bop;default
/Users/pq/__bop_v01;4;__bop_v01;default
/Users/pq/__bop_v01/__MACOSX;4;__MACOSX;default
/Users/pq/__bop/__MACOSX;4;__MACOSX;default
/Users/pq/bop_final_repo copy/bop/__MACOSX;4;__MACOSX;default
/Users/pq/bop_final_repo/bop_merged_platform/__MACOSX;4;__MACOSX;default
/Users/pq/gpt-engineer;4;AntonOsika/gpt-engineer;main
/Users/pq/bop_final_repo copy/bop;4;bop;default
/Users/pq/bop_final_repo/bop_merged_platform;4;bop_merged_platform;default
/Users/pq/_project_/IWS/b4-code/_RichieRiched/RR-04/builder-app;4;builder-app;main
/Users/pq/__bopper/business-dashboard;4;business-dashboard;master
/Users/pq/ACE_Framework;4;daveshap/ACE_Framework;main
/Users/pq/ACE_Framework_0;4;daveshap/ACE_Framework;main
/Users/pq/OpenAI_Agent_Swarm;4;daveshap/OpenAI_Agent_Swarm;main
/Users/pq/_project_/__copilot/ecommerce_project;4;ecommerce_project;default
/Users/pq/_project_/ecommerce_project;4;ecommerce_project;default
/Users/pq/_project_/app_v01_aida-actionsgpt/gpte;4;gpte;default
